sentence,actual_label,predicted_label,confidence,correct
"Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!",Negative,Negative,0.9999632835388184,True
DA VINCI CODE IS AWESOME!!,Positive,Positive,0.9999756813049316,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
Harry Potter is awesome!,Positive,Positive,0.9999760389328003,True
"Oh, and Brokeback Mountain was a terrible movie.",Negative,Negative,0.9999512434005737,True
Harry Potter is AWESOME I don't care if anyone says differently!..,Positive,Positive,0.999969482421875,True
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",Positive,Positive,0.9999606609344482,True
I hated The Da Vinci Code...,Negative,Negative,0.9999312162399292,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
man i loved brokeback mountain!,Positive,Positive,0.9999727010726929,True
"Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..",Negative,Negative,0.9999499320983887,True
Brokeback mountain SUCKS..,Negative,Negative,0.9999659061431885,True
I like Mission Impossible movies because you never know who's on the right side.,Positive,Positive,0.9999583959579468,True
I love Harry Potter.,Positive,Positive,0.999972939491272,True
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.,Negative,Negative,0.9999395608901978,True
i love being a sentry for mission impossible and a station for bonkers.,Positive,Positive,0.9999728202819824,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
"Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.",Negative,Negative,0.9999643564224243,True
"Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.",Positive,Positive,0.9999606609344482,True
Brokeback Mountain was boring.,Negative,Negative,0.9999346733093262,True
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.,Positive,Positive,0.9999731779098511,True
Mission Impossible 3 was excellent.,Positive,Positive,0.9999613761901855,True
"Is it just me, or does Harry Potter suck?...",Negative,Negative,0.9999535083770752,True
I wanted desperately to love'The Da Vinci Code as a film.,Positive,Positive,0.9999732971191406,True
"Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...",Negative,Negative,0.9999252557754517,True
Da Vinci Code sucks be...,Negative,Negative,0.9999645948410034,True
"He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..",Positive,Positive,0.9999681711196899,True
"Anyway, thats why I love "" Brokeback Mountain.",Positive,Positive,0.9999732971191406,True
Brokeback Mountain was so awesome.,Positive,Positive,0.9999748468399048,True
DA VINCI CODE IS AWESOME!!,Positive,Positive,0.9999756813049316,True
